episode,return_mean
9720,0.0805
9744,0.0031
9768,0.1567
9792,0.0129
9816,0.0992
9840,0.1546
9864,0.3752
9888,0.2752
9912,0.2982
9936,0.202
9960,0.0942
9984,-0.0094
10008,0.0177
10032,0.2041
10056,0.3649
10080,0.3383
10104,0.2811
10128,0.3911
10152,0.3829
10176,0.3598
10200,0.3585
10224,0.3561
10248,0.2056
10272,0.1038
10296,-0.0864
10320,-0.0355
10344,0.0308
10368,0.1041
10392,-0.0702
10416,0.2045
10440,0.1463
10464,0.0903
10488,0.0492
10512,0.1653
10536,-0.0569
10560,0.1515
10584,0.1966
10608,0.2597
10632,0.1732
10656,0.23
10680,0.2338
10704,0.2716
10728,0.2431
10752,0.2645
10776,0.1726
10800,-0.0099
10824,-0.0703
10848,-0.0901
10872,0.0129
10896,0.1251
10920,0.1533
10944,0.3084
10968,0.3783
10992,0.2372
11016,0.2002
11040,0.0768
11064,-0.1645
11088,-0.3094
11112,-0.1907
11136,-0.2743
11160,-0.2108
11184,-0.037
11208,0.0992
11232,0.0229
11256,0.058
11280,0.0748
11304,0.0317
11328,0.1618
11352,0.2906
11376,0.3546
11400,0.2987
11424,0.4662
11448,0.523
11472,0.4929
11496,0.7325
11520,0.966
11544,0.7972
11568,0.6687
11592,0.7235
11616,0.6247
11640,0.6217
11664,0.6016
11688,0.6082
11712,0.6226
11736,0.6181
11760,0.5182
11784,0.58
11808,0.5171
11832,0.5847
11856,0.6227
11880,0.8842
11904,1.0908
11928,1.0047
11952,0.7879
11976,0.8606
12000,0.6024
12024,0.442
12048,0.6293
12072,0.8358
12096,0.4832
12120,0.5115
12144,0.4553
12168,0.3811
12192,0.4031
12216,0.6783
12240,0.7481
12264,0.7516
12288,0.9042
12312,0.8433
12336,0.5582
12360,0.4082
12384,0.3276
12408,0.1795
12432,0.0514
12456,0.3262
12480,0.2676
12504,0.2919
12528,0.2155
12552,0.2243
12576,0.3837
12600,0.6646
12624,0.5781
12648,0.5844
12672,0.5477
12696,0.3974
12720,0.3997
12744,0.4649
12768,0.4464
12792,0.5705
12816,0.6323
12840,0.5786
12864,0.5345
12888,0.5941
12912,0.7505
12936,0.7273
12960,0.7165
12984,0.8291
13008,1.0258
13032,0.7097
13056,0.6748
13080,0.6186
13104,0.4756
13128,0.2585
13152,0.3609
13176,0.2915
13200,0.254
13224,0.2891
13248,0.3117
13272,0.4121
13296,0.4048
13320,0.4736
13344,0.6934
13368,0.7488
13392,0.9169
13416,0.9029
13440,0.8223
13464,0.6494
13488,0.5033
13512,0.3118
13536,0.3723
13560,0.361
13584,0.4798
13608,0.5537
13632,0.6181
13656,0.6286
13680,0.8133
13704,0.8895
13728,0.8188
13752,0.6642
13776,0.8357
13800,0.7218
13824,0.7318
13848,0.7976
13872,0.7027
13896,0.4552
13920,0.5892
13944,0.4692
13968,0.5366
13992,0.7398
14016,0.7795
14040,0.8335
14064,0.8342
14088,0.8047
14112,0.7673
14136,0.97
14160,0.7417
14184,0.7088
14208,0.715
14232,0.592
14256,0.2802
14280,0.2205
14304,0.2931
14328,0.407
14352,0.4671
14376,0.7119
14400,0.6752
14424,0.5009
14448,0.2856
14472,0.403
14496,0.245
14520,0.3429
14544,0.4592
14568,0.5464
14592,0.4361
14616,0.5797
14640,0.5987
14664,0.5392
14688,0.7123
14712,0.8207
14736,0.6396
14760,0.6603
14784,0.9071
14808,0.7785
14832,0.7847
14856,0.6997
14880,0.6927
14904,0.5101
14928,0.6274
14952,0.4062
14976,0.6392
15000,0.7819
15024,1.021
15048,0.9582
15072,1.1082
15096,1.2059
15120,1.0441
15144,0.9035
15168,0.8616
15192,0.9462
15216,0.836
15240,0.825
15264,0.8063
15288,0.9037
15312,0.9811
15336,0.822
15360,0.8487
15384,0.7463
15408,0.4347
15432,0.2838
15456,0.4608
15480,0.5749
15504,0.6584
15528,0.841
15552,0.8765
15576,0.6654
15600,0.6709
15624,0.5066
15648,0.462
15672,0.5375
15696,0.582
15720,0.5443
15744,0.4967
15768,0.3949
15792,0.1134
15816,0.1573
15840,0.2382
15864,0.2381
15888,0.344
15912,0.5088
15936,0.4596
15960,0.3496
15984,0.406
16008,0.3268
16032,0.236
16056,0.2425
16080,0.2293
16104,0.2689
16128,0.4287
16152,0.5814
16176,0.527
16200,0.372
16224,0.2901
16248,0.2598
16272,0.0943
16296,0.1775
16320,0.1896
16344,0.244
16368,0.0996
16392,0.1794
16416,0.1212
16440,0.0002
16464,0.1371
16488,0.1091
16512,0.1777
16536,0.2501
16560,0.5066
16584,0.3889
16608,0.5513
16632,0.4926
16656,0.3921
16680,0.5036
16704,0.7512
16728,0.7092
16752,0.6128
16776,0.6979
16800,0.4146
16824,0.1734
16848,0.1771
16872,0.2457
16896,0.3116
16920,0.4366
16944,0.4773
16968,0.5354
16992,0.6002
17016,0.4424
17040,0.6315
17064,0.5479
17088,0.4928
17112,0.4538
17136,0.6766
17160,0.5193
17184,0.5277
17208,0.4536
17232,0.4407
17256,0.3052
17280,0.2435
17304,0.3084
17328,0.4899
17352,0.4452
17376,0.4043
17400,0.4701
17424,0.4555
17448,0.5195
17472,0.7231
17496,0.7635
17520,0.6224
17544,0.6909
17568,0.6107
17592,0.7631
17616,0.7335
17640,0.929
17664,1.0137
17688,1.0692
17712,0.9077
17736,0.8797
17760,0.7765
17784,0.6759
17808,0.603
17832,0.401
17856,0.4391
17880,0.4184
17904,0.4831
17928,0.4377
17952,0.6097
17976,0.4584
18000,0.4713
18024,0.3773
18048,0.2813
18072,0.1765
18096,0.4085
18120,0.4982
18144,0.5459
18168,0.5635
18192,0.428
18216,0.3665
18240,0.389
18264,0.2189
18288,0.339
18312,0.4393
18336,0.524
18360,0.4694
18384,0.6263
18408,0.625
18432,0.5709
18456,0.5214
18480,0.4106
18504,0.3515
18528,0.3523
18552,0.5883
18576,0.7643
18600,0.981
18624,1.0557
18648,0.9551
18672,0.8695
18696,0.6694
18720,0.4493
18744,0.4289
18768,0.4763
18792,0.5236
18816,0.5289
18840,0.7397
18864,0.6134
18888,0.7315
18912,0.6457
18936,0.791
18960,0.6882
18984,0.7127
19008,0.5677
19032,0.455
19056,0.5226
19080,0.5807
19104,0.5303
19128,0.4645
19152,0.3879
19176,0.1974
19200,0.2597
19224,0.5526
19248,0.7038
19272,0.9024
19296,0.8997
19320,0.6982
19344,0.5623
19368,0.6557
19392,0.7785
19416,0.7504
19440,0.9649
19464,0.9813
19488,0.9406
19512,0.954
19536,1.0095
19560,0.9822
19584,0.9705
19608,0.8864
19632,0.8079
19656,0.741
19680,0.5334
19704,0.6568
19728,0.7572
19752,0.7159
19776,0.7831
19800,0.9275
19824,0.7105
19848,0.4986
19872,0.4947
19896,0.5885
19920,0.5766
19944,0.6697
19968,0.9303
19992,0.9757
20016,0.8681
20040,1.0112
20064,1.0712
20088,1.0189
20112,1.0405
20136,1.0508
20160,1.0427
20184,1.1582
20208,1.1798
20232,1.1897
20256,1.1895
20280,1.0595
20304,0.8021
20328,0.7449
20352,0.478
20376,0.5483
20400,0.4801
20424,0.5253
20448,0.3875
20472,0.484
20496,0.4781
20520,0.4895
20544,0.5135
20568,0.6197
20592,0.59
20616,0.3816
20640,0.5259
20664,0.6703
20688,0.6598
20712,0.8316
20736,0.9632
20760,0.798
20784,0.5361
