episode,return_mean
19984,-29.1372
20016,-29.2283
20056,-27.7594
20096,-29.4285
20136,-28.3737
20176,-27.402
20216,-27.5241
20248,-25.2904
20288,-22.5324
20320,-21.365
20360,-22.437
20408,-22.4343
20440,-23.1686
20472,-23.5157
20504,-23.5296
20536,-21.1008
20576,-21.3977
20608,-21.1928
20640,-20.4788
20672,-20.3827
20712,-22.9582
20744,-20.3773
20784,-22.7176
20816,-22.5067
20840,-21.5406
20872,-20.665
20904,-23.335
20936,-21.2098
20968,-22.4445
20992,-24.7483
21024,-24.3318
21056,-23.6017
21088,-22.8112
21120,-21.5484
21152,-20.5749
21184,-21.3397
21216,-19.471
21248,-19.6061
21280,-19.1645
21312,-18.8158
21344,-18.3675
21392,-21.2921
21424,-23.6663
21456,-23.5965
21488,-23.4361
21520,-23.2882
21552,-20.6412
21600,-20.7293
21640,-22.6717
21672,-24.1914
21704,-23.5297
21736,-23.3216
21768,-21.6076
21800,-21.6975
21840,-22.0487
21872,-22.4237
21904,-22.4129
21936,-21.3486
21960,-19.5239
21992,-17.7252
22024,-17.5882
22056,-19.3448
22096,-23.4248
22128,-26.2266
22160,-26.5331
22192,-26.4949
22224,-25.1392
22256,-21.9313
22296,-20.468
22328,-21.9109
22360,-21.5283
22392,-22.9604
22432,-24.4673
22456,-22.0634
22488,-21.051
22528,-23.2917
22560,-22.7801
22592,-19.4116
22624,-20.0573
22656,-18.6303
22688,-16.0422
22728,-16.987
22760,-17.6918
22792,-20.1037
22832,-22.5326
22864,-24.2624
22896,-22.0148
22928,-23.9429
22968,-22.7216
23008,-22.7199
23040,-22.5015
23080,-24.4837
23112,-25.2899
23144,-24.9294
23176,-23.4638
23208,-23.9955
23248,-24.8476
23288,-24.0605
23320,-25.1976
23360,-25.8333
23400,-26.7734
23440,-26.2329
23472,-26.1861
23512,-26.8624
23552,-27.6024
23592,-26.9874
23624,-25.5827
23656,-25.9628
23688,-26.1147
23728,-27.2826
23768,-29.0755
23800,-31.1547
23832,-30.6795
23864,-29.025
23896,-27.7766
23928,-23.6569
23960,-21.6905
23992,-20.9163
24024,-22.5653
24056,-22.4631
24088,-24.8786
24120,-24.8981
24152,-24.8045
24184,-22.6637
24216,-21.3427
24248,-19.1657
24288,-19.5706
24320,-18.7462
24352,-20.1844
24384,-20.4771
24408,-18.7041
24440,-19.3819
24472,-20.8861
24496,-19.1846
24536,-19.2655
24568,-21.2078
24600,-19.9402
24632,-20.6241
24664,-22.1915
24696,-22.2179
24728,-22.9845
24760,-22.1578
24792,-22.7823
24832,-24.1213
24864,-23.7392
24896,-24.5909
24928,-25.0412
24960,-22.6054
25000,-21.6259
25040,-23.6498
25080,-23.3455
25112,-24.8799
25144,-25.2213
25176,-23.9053
25216,-23.8154
25248,-23.026
25288,-23.5183
25320,-24.5206
25360,-26.0537
25392,-23.372
25424,-23.4101
25464,-23.0234
25504,-24.3895
25536,-24.9815
25568,-26.0478
25608,-27.0541
25648,-25.4108
25680,-22.3248
25712,-20.2575
25744,-20.323
25776,-19.5793
25816,-20.9711
25848,-21.3582
25888,-24.4639
25920,-24.3212
25952,-23.7653
25992,-23.4152
26040,-26.197
26080,-25.7151
26112,-26.7396
26152,-28.9293
26192,-29.2656
26232,-28.0266
26264,-26.0437
26296,-24.9488
26336,-24.3801
26368,-21.689
26400,-20.5316
26432,-20.7384
26464,-21.3437
26496,-19.541
26520,-20.3298
26552,-21.8017
26584,-20.7474
26616,-19.7186
26648,-20.3696
26680,-20.0586
26712,-17.9478
26744,-18.0763
26784,-19.175
26824,-20.996
26856,-22.683
26888,-25.3142
26920,-24.9741
26952,-24.3975
26992,-23.5141
27024,-24.545
27056,-23.4059
27088,-25.2892
27120,-23.4609
27152,-21.642
27184,-20.4764
27216,-20.843
27240,-17.6072
27280,-19.7844
27320,-21.0608
27352,-21.4328
27384,-19.1872
27416,-21.2589
27448,-21.5936
27480,-20.3562
27512,-18.6785
27544,-19.6404
27576,-18.7178
27608,-17.8053
27640,-17.6271
27672,-18.096
27704,-17.7228
27744,-18.831
27784,-19.6644
27816,-21.0983
27848,-22.1209
27880,-23.3154
27912,-23.3112
27944,-21.1703
27976,-20.0992
28008,-19.3493
28040,-19.7084
28072,-19.3661
28104,-20.908
28136,-20.7537
28168,-19.7726
28200,-16.9789
28232,-15.4308
28264,-14.8971
28296,-14.0545
28328,-13.4055
28360,-14.2641
28392,-15.5538
28424,-14.672
28456,-15.2522
28488,-14.6328
28520,-14.5846
28552,-13.6517
28584,-14.0668
28616,-14.4345
28648,-16.0719
