steps,episode,reward,time
5000,640,30.070421874981285,412.474
10000,1280,31.48279687498652,412.159
15000,1920,31.355562499982813,411.974
20000,2560,30.564812499982132,413.054
25000,3200,30.739984374982026,413.285
30000,3840,31.23362499998471,413.53
35000,4480,31.239624999983317,412.488
40000,5120,30.95378124998158,413.521
45000,5760,31.805374999983805,412.804
50000,6400,31.114234374983347,410.977
55000,7040,31.023031249982644,410.365
60000,7680,30.69993749998208,410.841
65000,8320,31.588640624985413,410.587
70000,8960,30.899234374982143,410.766
75000,9600,30.93115624998315,410.691
80000,10240,31.840593749988706,411.437
85000,10880,31.378187499984723,410.534
90000,11520,30.81548437498306,410.968
95000,12160,31.22854687498501,411.083
100000,12800,31.19804687498322,410.936
105000,13440,30.532171874981238,410.832
110000,14080,31.54101562498431,411.015
115000,14720,30.971015624982073,410.854
120000,15360,31.260281249983528,411.053
125000,16000,30.902078124981422,411.784
130000,16640,31.466390624986182,411.77
135000,17280,31.10678124998385,410.938
140000,17920,30.521609374982738,411.325
145000,18560,31.228109374984047,411.275
150000,19200,32.10610937498778,411.558
155000,19840,31.262062499986076,411.895
160000,20480,30.966328124984273,411.13
165000,21120,30.810593749982313,411.507
170000,21760,31.351437499984662,411.295
175000,22400,31.42743749998209,411.344
180000,23040,30.82587499998167,411.739
185000,23680,31.482343749986967,412.252
190000,24320,31.61507812498428,411.247
195000,24960,31.93595312498661,411.471
200000,25600,31.400031249983147,411.721
205000,26240,31.009343749984698,411.681
210000,26880,31.510234374986048,411.664
215000,27520,30.90599999998409,412.074
220000,28160,31.01042187498507,411.066
225000,28800,32.424124999988706,410.589
230000,29440,31.429046874984436,411.444
235000,30080,30.98768749998242,411.862
240000,30720,30.983187499982865,411.579
245000,31360,31.170171874984504,411.269
250000,32000,31.64406249998616,411.991
255000,32640,30.814046874983877,411.786
260000,33280,31.741734374984663,411.309
265000,33920,31.31848437498254,411.877
270000,34560,30.462859374982344,412.024
275000,35200,31.92892187498571,411.745
280000,35840,31.272437499983898,411.734
285000,36480,30.9958906249814,411.162
290000,37120,31.4574062499847,411.948
295000,37760,31.112890624982306,411.587
300000,38400,31.654703124985275,411.702
305000,39040,31.539484374985193,411.936
310000,39680,31.61065624998501,411.153
315000,40320,31.49951562498682,412.055
320000,40960,31.320359374986236,411.88
325000,41600,31.293578124985014,403.392
330000,42240,30.09009374998203,403.243
335000,42880,31.22384374998318,402.568
340000,43520,31.7132187499867,402.153
345000,44160,31.513874999984985,403.193
350000,44800,31.565906249984852,403.328
355000,45440,31.399718749985464,402.858
360000,46080,31.713984374988115,401.98
365000,46720,31.230656249981728,403.863
370000,47360,31.26978124998298,403.733
375000,48000,31.573140624984603,402.548
380000,48640,31.685703124985945,403.309
385000,49280,31.32907812498498,403.342
390000,49920,31.144156249982398,402.799
395000,50560,31.853218749986166,402.694
400000,51200,30.268359374981248,403.467
405000,51840,30.624343749981808,403.993
410000,52480,30.560296874983408,403.399
415000,53120,31.953359374985958,402.608
420000,53760,31.0690468749832,402.807
425000,54400,30.99592187498349,403.249
430000,55040,30.917453124982167,403.214
435000,55680,31.500156249986105,403.065
440000,56320,31.29143749998486,402.234
445000,56960,31.346156249984226,402.22
450000,57600,32.39240624998985,403.366
455000,58240,31.4495937499871,402.772
460000,58880,30.707187499984705,403.108
465000,59520,31.27440624998406,402.443
